mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0008011817932128906,0.0004005919324672816,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
2.353664684295654,1.174899007128818,0.004996490478515625,0.0017911122810672236,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",-0.6978130125368185,-0.6880484684436966,-0.6913303463616194,-0.6913429760670459,-0.6919919017419638,-0.6921053410302289,0.0031695556393941484,1
0.011602449417114257,0.020215911244016543,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
0.008806085586547852,0.0031869531011111075,0.018003368377685548,0.024067376410475537,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",-0.6978800231889174,-0.6882691916016113,-0.6919906492969307,-0.6919244420072225,-0.6920910921764047,-0.6924310796542172,0.0030847544439328166,2
0.0007999897003173828,0.0007478446744071005,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
0.008794641494750977,0.0037636935343477013,0.005801773071289063,0.004259563179832872,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",-0.6976072358819999,-0.688168476452492,-0.6964533771379738,-0.6929510086709945,-0.6922963078281013,-0.6934952811943124,0.003339674278593774,3
0.008796787261962891,0.014150459061534556,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
0.0075931549072265625,0.0018542422744073006,0.0037987232208251953,0.0019371071942595058,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",-0.6972221315833658,-0.686788717078069,-0.7038942172245589,-0.6921545832104818,-0.6922913476080506,-0.6944701993409053,0.005753257978398448,4
0.0010051727294921875,1.4671559512952527e-05,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
0.011401176452636719,0.0054628083572865254,0.0029994487762451173,0.0006320342005273283,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",-0.6972984517075509,-0.6863106513984042,-0.7063137173943949,-0.6917866438314737,-0.692419515494906,-0.694825795965346,0.0067174501646178044,5
0.00240325927734375,0.002151423147425265,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
0.013399553298950196,0.006770355017745514,0.006806516647338867,0.003257812425028532,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",-0.6973159300779816,-0.6862520667494276,-0.7066195878154526,-0.6917411198497799,-0.6924423289701039,-0.6948742066925491,0.006840870564968413,6
0.0012018680572509766,0.00040174089478813035,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
0.011998319625854492,0.004334581970594978,0.009800958633422851,0.007833182233365304,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",-0.6973179849576743,-0.6862460939763552,-0.7066510095048781,-0.6917364641640092,-0.6924447553438571,-0.6948792615893546,0.006853568413667254,7
