mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00019865036010742189,0.00039730072021484377,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
1.1619481086730956,0.5765591159754313,0.0027152061462402343,0.00033884048461914064,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",-0.6978130125368185,-0.6880484684436966,-0.6913303463616194,-0.6913429760670459,-0.6919919017419638,-0.6921053410302289,0.0031695556393941484,1
0.0010019302368164062,0.0006327153420122973,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
0.004999923706054688,0.0006256303660459331,0.0030080795288085936,1.2519495574105116e-05,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",-0.6978800231889174,-0.6882691916016113,-0.6919906492969307,-0.6919244420072225,-0.6920910921764047,-0.6924310796542172,0.0030847544439328166,2
0.0012052059173583984,0.00039404655454948354,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
0.00937962532043457,0.0034498923847199074,0.0032109737396240233,0.0003948755388093108,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",-0.6976072358819999,-0.688168476452492,-0.6964533771379738,-0.6929510086709945,-0.6922963078281013,-0.6934952811943124,0.003339674278593774,3
0.0010002613067626952,1.5124084021714885e-06,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
0.007810115814208984,0.0016112659904753384,0.0021948814392089844,0.0003958528797930621,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",-0.6972221315833658,-0.686788717078069,-0.7038942172245589,-0.6921545832104818,-0.6922913476080506,-0.6944701993409053,0.005753257978398448,4
0.0010002613067626952,1.2908643297625319e-05,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
0.006996774673461914,0.001288634723573581,0.0026012420654296874,0.0004902529210440479,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",-0.6972984517075509,-0.6863106513984042,-0.7063137173943949,-0.6917866438314737,-0.692419515494906,-0.694825795965346,0.0067174501646178044,5
0.001203298568725586,0.00040893461277129113,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
0.006792640686035157,0.0004084668090769015,0.004004955291748047,0.002009273409242098,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",-0.6973159300779816,-0.6862520667494276,-0.7066195878154526,-0.6917411198497799,-0.6924423289701039,-0.6948742066925491,0.006840870564968413,6
0.0012072086334228515,0.0009937351655837196,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
0.005997228622436524,1.921600501976956e-06,0.003002166748046875,0.0006348261509177087,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",-0.6973179849576743,-0.6862460939763552,-0.7066510095048781,-0.6917364641640092,-0.6924447553438571,-0.6948792615893546,0.006853568413667254,7
