mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08651776313781738,0.04076936354006815,0.008984708786010742,0.0037428183072925063,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-1.1027289853054474,-0.8717200204265881,-1.0424613187252063,-1.2694519915129312,-0.863249781289528,-1.0299224194519403,0.15207906054909912,1
0.00420069694519043,0.001938976047238794,0.004200267791748047,0.0029255129278564587,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-1.6428728652472193,-1.23413928024493,-1.420365702366139,-1.6461716888271045,-1.4193904843723808,-1.472588004211555,0.15591226273198067,3
0.0030002593994140625,1.6310340286719389e-06,0.0029996395111083984,1.975280301781462e-06,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-1.6401024948792289,-1.2379393852290552,-2.905920282416978,-2.056599275476239,-1.4293022857780555,-1.8539727447559113,0.5921543237203726,6
0.0038005352020263673,0.0011674313160605996,0.003999662399291992,0.0017877124238593587,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-2.203569581196181,-1.6017450482967746,-4.408339596008449,-2.99916571577483,-1.618911582109005,-2.566346304677048,1.0526126558587843,8
0.0031939029693603517,0.00040303706758925486,0.0028000354766845705,0.0003999831450662453,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-4.082007804630249,-1.974931862037663,-4.373405588717726,-3.914707405869969,-2.384936608503487,-3.345997853951819,0.9720255682937222,10
0.004799461364746094,0.0026381022806248548,0.003401517868041992,0.0010194590538263031,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-4.9932230753423426,-3.481259735826397,-4.911026156911254,-4.672993405107981,-2.376958800655327,-4.08709223476866,1.0133913132593866,13
0.0035976409912109376,0.0004910792523293183,0.0026020526885986326,0.0004916116961818328,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-5.351019917187018,-3.6675529851312523,-5.100901113845968,-6.32016412473052,-4.789527348380498,-5.045833097855051,0.8585382639673396,14
0.005399036407470703,0.0038791515878738936,0.0037981986999511717,0.002638237303281843,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-1.2694054218134883,-1.053237423633889,-1.4124582653760915,-1.2442991994727015,-0.863249781289528,-1.1685300183171397,0.19073867518949564,2
0.003598928451538086,0.0012010345896771172,0.0028005599975585937,0.0003996422716911178,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-1.6370985982309076,-1.2307528916826471,-2.3605626588445743,-1.2552953441024937,-1.2315085267602528,-1.543043603924175,0.4369353273422143,4
0.003399944305419922,0.0004906811354843748,0.0028004169464111326,0.0003989698069916248,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-1.643177627018395,-1.2375781479834278,-2.909592252471707,-1.6355255953266352,-1.4248322393184547,-1.770141172423724,0.5891436995444971,5
0.006399631500244141,0.003136850907348485,0.0028042316436767576,0.0003937251778330414,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-2.211400140019631,-1.4019277474854015,-3.660482645790142,-2.044992049041088,-1.5989216304579446,-2.1835448425588413,0.7942326677038807,7
0.003600931167602539,0.0004909348883321325,0.0026006221771240233,0.0004895551137539983,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-4.258514583953521,-1.404462499185048,-4.012239776968995,-3.176944411407077,-1.9748708800627537,-2.9654064303154795,1.1162834498963683,9
0.005602645874023438,0.0018555409628570425,0.0033961772918701173,0.0018510688560674535,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-4.777755947646571,-1.9547399797665184,-4.178891153320526,-4.2801628818759845,-2.3465559623345347,-3.507621184988827,1.1331530212566108,11
0.004601001739501953,0.001199008859537055,0.0025995254516601564,0.0004879794175097296,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-5.318669484367293,-2.522496828924052,-4.530368832666478,-5.360492370653134,-2.3567604390463637,-4.017757591131464,1.3230869218066899,12
