mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0037961483001708986,0.0011690584370496727,0.004800558090209961,0.004115880214042194,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-1.1027289853054474,-0.867189684023145,-1.0424613187252063,-1.2694519915129312,-0.8526055536242205,-1.0268875066381902,0.1553767012947927,1
0.003601360321044922,0.0011988679564746017,0.0027984619140625,0.00040157567087146156,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-1.6428728652472193,-1.23413928024493,-1.420365702366139,-1.6461716888271045,-1.4193904843723808,-1.472588004211555,0.15591226273198067,4
0.004601860046386718,0.0013559258005704157,0.002599477767944336,0.0004879381932325058,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-1.6401024948792289,-1.4274761710304438,-2.905920282416978,-2.2488953277625754,-1.4293022857780555,-1.9303393123734562,0.5729542765739255,6
0.0043999671936035155,0.0013568106978070085,0.0028026580810546877,0.00039989806625692116,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-2.203569581196181,-1.7934569613751359,-4.408339596008449,-2.9969005475731083,-1.4375700488650882,-2.5679673470035924,1.0565418899663757,8
0.0032005786895751955,0.00039945572294478786,0.0028008460998535157,0.00040110847913370755,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-3.8978169639766347,-2.1666437751160244,-4.566359646789853,-3.9147029388452195,-2.3583417019269275,-3.380773005330932,0.9463093438535932,10
0.003599071502685547,0.0012002473555503743,0.0028000831604003905,0.0007474639211063985,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-4.801287573453423,-3.675122902639174,-4.718072098839128,-4.679153941453523,-3.5298750629145417,-4.2807023158599575,0.5570517076371715,13
0.0036037445068359377,0.0011964985347200706,0.0041962146759033205,0.002134083651547839,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-5.522582004091143,-4.447006200073327,-5.293859638942845,-5.58195409350165,-4.596568823283621,-5.088394151978518,0.4748909836850894,14
0.003406238555908203,0.0004961041476455887,0.003194856643676758,0.001473069775786457,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-1.2632679229941133,-1.0487070872304458,-1.4124582653760915,-1.2442991994727015,-0.863249781289528,-1.166396451272576,0.19065572454085603,2
0.0037897109985351564,0.0011727867283363763,0.0030110359191894533,1.1920356736754712e-05,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-1.25666997512024,-1.2307528916826471,-2.3605626588445743,-1.2552953441024937,-1.2315085267602528,-1.4669578793020415,0.4469408746718426,3
0.0037993907928466795,0.0007492102758368984,0.00440068244934082,0.0038268406568611308,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-1.643177627018395,-1.238050551571268,-2.725356896903852,-1.6355255953266352,-1.4248322393184547,-1.733388582027721,0.5181279956401775,5
0.003804636001586914,0.0011709615773025986,0.00899658203125,0.00701782150596122,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-2.203953699496261,-1.4019277474854015,-3.2829478450034126,-2.2372881013274246,-1.4292015560917377,-2.1110637898808475,0.6878493124589397,7
0.006598949432373047,0.0032583498154017516,0.003199148178100586,0.000745904424976943,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-4.261338356575374,-1.5961744122634092,-4.012239776968995,-2.9839903533349506,-1.78578915260828,-2.9279064103502015,1.098627048547193,9
0.004804754257202148,0.0015972282582911233,0.0030030727386474608,0.000897113823435185,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-4.768866700257436,-1.759621692915764,-4.185914713761,-3.894254765731731,-2.3465514953097855,-3.3910418735951433,1.1433231613215409,11
0.003999185562133789,0.0010954967997012174,0.0039996147155761715,0.0008934561417251551,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-4.94038435955867,-2.7131901858192067,-4.530368832666478,-5.356620040035479,-2.35288810842871,-3.978690305301709,1.2142996616304664,12
