mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0010004520416259765,7.747686771999321e-07,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
0.0165987491607666,0.01118394351889447,0.0028012275695800783,0.0003993804095330927,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",-0.6978107854844382,-0.6880500677767611,-0.6913286754833031,-0.6913443708667094,-0.6919975154035729,-0.692106283002957,0.0031683195694597373,1
0.0008009910583496094,0.00040050201544747653,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
0.005799627304077149,0.0003991612253349994,0.0026006698608398438,0.0004897852548129742,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",-0.6978731968497998,-0.6882855519928972,-0.6919747327816395,-0.6919396135309791,-0.6921445388581503,-0.6924435268026932,0.003076789285924908,2
0.0008005142211914062,0.0007484306161523616,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
0.0100006103515625,0.0070144701002715516,0.0025998592376708985,0.0004901958021606874,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",-0.6975685439956605,-0.6884234072864324,-0.6963114716062954,-0.6930908519982447,-0.6926915840447238,-0.6936171717862714,0.003193164847723132,3
0.0008000850677490235,0.00040004464750881366,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
0.01099848747253418,0.003999531319083791,0.0028012275695800783,0.00040092510795933657,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",-0.6972677671402814,-0.6878128578127096,-0.7033082856997303,-0.6925542014383576,-0.6943633221532828,-0.6950612868488724,0.005141865435551975,4
0.0006000518798828125,0.0004899432397615374,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
0.012798690795898437,0.0059112971594173355,0.0032013893127441407,0.0014713785801856898,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",-0.697542661517939,-0.6877351082426992,-0.7057083870006738,-0.6922292071134524,-0.6964889854705094,-0.6959408698690547,0.005989683170174534,5
0.0006002902984619141,0.0004901352623298956,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
0.013198471069335938,0.006430733216428748,0.003000831604003906,0.0008930305367767209,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",-0.697597342713125,-0.6877371079174206,-0.7060309611501655,-0.6921873359435977,-0.6969431465335628,-0.6960991788515742,0.006112672431521454,6
0.0012004375457763672,0.0014701005122905908,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
0.0082000732421875,0.0009805629814874808,0.002600955963134766,0.0004919657793804921,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",-0.6976032736772096,-0.6877374215619471,-0.7060653059456033,-0.6921827315806803,-0.696993844755723,-0.6961165155042327,0.006126050260609837,7
