mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0013948440551757812,0.00048352109838115955,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
0.5245546340942383,0.25928281645025564,0.010599565505981446,0.008013410476367496,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",-0.694583800370853,-0.6873587885732759,-0.693792581837347,-0.6916670443629257,-0.6869713356049624,-0.6908747101498728,0.00317796023662169,1
0.002404928207397461,0.002328401326687286,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
0.030999374389648438,0.0287814050541641,0.022801017761230467,0.03296960293061438,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",-0.6942956641098308,-0.6881435183882668,-0.694310267329553,-0.6916432266882512,-0.6865320311679443,-0.6909849415367693,0.0031734558823537638,2
0.0012006282806396485,0.00040140205790202,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
0.02299923896789551,0.0202479853032176,0.00560293197631836,0.003261198557109054,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",-0.6930582911055475,-0.6925270011443152,-0.6962300333167689,-0.6915068201404947,-0.6855936029990725,-0.6917831497412397,0.0034739292124295984,3
0.005200052261352539,0.005114773733284425,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
0.027002334594726562,0.023149431709368642,0.005398082733154297,0.004320529304310737,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",-0.692162288477478,-0.697038635110134,-0.6970737787482248,-0.6920525630140673,-0.6868596610617397,-0.6930373852823288,0.0038000636378781,4
0.000599813461303711,0.0004897463599651893,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
0.020000791549682616,0.016197767988949147,0.004799699783325196,0.0021355561571581713,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",-0.6921197479096272,-0.6981008228946645,-0.6969478845356962,-0.6926768576111394,-0.6877739825252627,-0.693523859095278,0.0036992585241839866,5
0.005201005935668945,0.008425838348084804,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
0.03099856376647949,0.019960247651010253,0.00639948844909668,0.0042231247562455115,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",-0.6921224812135244,-0.698227897581211,-0.6969177233812555,-0.6927949154467272,-0.6879109729146027,-0.693594798107464,0.0036775220254668425,6
0.014200258255004882,0.02295567710247885,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
0.021800518035888672,0.013526952864203502,0.0042017936706542965,0.0011689883318929536,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",-0.6921228674150207,-0.6982410853336415,-0.6969143458279186,-0.6928074717349063,-0.6879253588616038,-0.6936022258346182,0.0036752172818390843,7
