mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4787729740142823,0.7378862380981445,0.22152390480041503,0.10926379892712153,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.871425514496592,-0.860817354015395,-1.128053027665634,-0.8598081714951128,-1.1472500997352577,-0.9734708334815982,0.13425210793939824,1
0.0037992000579833984,0.0007480758053465492,0.0022008419036865234,0.00039935913362576075,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-1.1588392414119286,-1.6386907733667007,-2.1954101040106986,-1.0158832248676486,-1.445830471589674,-1.49093076304933,0.41379056080486426,4
0.011800909042358398,0.015613419709321076,0.002599954605102539,0.0004909531219830339,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-1.305521555684631,-1.9663725291803846,-2.914611888655973,-2.193216853993639,-1.7201888084890624,-2.019982327200738,0.5354580491212078,6
0.004398870468139649,0.0013555536126557159,0.0037992000579833984,0.0015991929490042512,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-2.124705490768746,-2.114334497073479,-3.652517065310318,-2.786080212812801,-2.460008580079962,-2.627529169209061,0.5692103638326823,8
0.004196739196777344,0.0009842311057515288,0.0032014846801757812,0.00040316679010888586,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-5.056520068860281,-3.2600382554940666,-3.9423194634705996,-3.400179960856622,-3.4726378709128634,-3.826339123918886,0.6563854780048227,11
0.0059967041015625,0.0027598531339943933,0.003599119186401367,0.0013578726106773227,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-6.689468019429965,-4.441596253496868,-4.384577491707967,-4.294678497211446,-4.381231461582112,-4.838310344685671,0.9267682557955017,13
0.004999589920043945,0.002097829816394004,0.002400112152099609,0.0004888505476047678,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-7.7137412398458025,-6.054799513243194,-4.6747158714950485,-4.8838623261387974,-4.3850431609008975,-5.542432422324748,1.225014163471943,14
0.003401041030883789,0.0004894943739121164,0.0044005393981933595,0.0023339459752412094,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.8536140539448454,-1.616920281227827,-0.9661606043077307,-0.8598081714951128,-1.1372233322931642,-1.0867452886537359,0.2842621499533787,2
0.003603410720825195,0.0007996060310914515,0.004997110366821289,0.0032802240412016315,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.8564682911005893,-1.6345965323671459,-0.9791019965448964,-1.5944655000455206,-1.1416548332719643,-1.2412574306660233,0.31817618395355246,3
0.005802726745605469,0.0032478874627442133,0.003998899459838867,0.0014119564180389945,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-1.3045881944020032,-1.7777591422353418,-2.3318029031788945,-2.043187485807542,-1.7252886081906642,-1.836525266762889,0.34257650546073826,5
0.006200218200683593,0.003920617808877892,0.003802585601806641,0.0014750141818275601,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-1.477333888763265,-2.5162097612150873,-2.6366176350257016,-2.484651069642564,-2.30296869036357,-2.2835562090020374,0.4170348817456516,7
0.005598115921020508,0.0023287283333651107,0.003404092788696289,0.0008018327171610046,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-3.2658200017831294,-3.4138019711029974,-3.3626414565102194,-3.243192015776823,-2.8996181682083852,-3.237014722676311,0.17985557844078895,9
0.0035997867584228516,0.0004886390401491415,0.004399013519287109,0.001741618887279473,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-3.843486321793417,-4.1459466450563,-3.9280036373990534,-3.3843434889546065,-3.3350083706661944,-3.7273576927739143,0.31640420323551655,10
0.005196237564086914,0.0011625208807451851,0.003200387954711914,0.00039954346252310996,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-5.027157192979426,-4.7382782649793915,-4.075585297154875,-3.98537717419853,-3.3235559093335483,-4.229990767729154,0.5998552327695574,12
