mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15359725952148437,0.07530168331896192,0.020401716232299805,0.008915006319742872,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-1.2895500115829488,-0.8717200204265881,-1.0424613187252063,-1.2694519915129312,-0.8526055536242205,-1.065157779174379,0.1871896063209418,1
0.006199836730957031,0.0031880943779227155,0.0038012027740478515,0.001165746423239109,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-1.6428728652472193,-1.23413928024493,-1.420365702366139,-1.6461716888271045,-1.2250104775434614,-1.4337120028457708,0.18571543098736834,3
0.007800912857055664,0.007167009431128268,0.004400825500488282,0.0012004864132508343,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-1.6401024948792289,-1.42901817716045,-2.905920282416978,-2.2488953277625754,-1.42457005525944,-1.9297012674957343,0.5735149450236532,6
0.003998374938964844,0.0006340074732665097,0.0032013416290283202,0.00040085464245949746,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-2.203569581196181,-1.414691004448905,-4.408339596008449,-2.99916571577483,-1.6020837256330718,-2.525569924612287,1.0917579919620113,8
0.004607200622558594,0.0010278649510512426,0.002993011474609375,0.0006326289096143568,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-3.898835520159841,-2.5470737089970763,-4.566359646789853,-4.300615522014223,-1.80994229788001,-3.4245653391682005,1.0651844436376927,10
0.004599666595458985,0.0008086009410695538,0.0037932395935058594,0.0011726207559712711,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-4.8148311406480335,-3.475122237007022,-4.7203328000161,-4.859809964360732,-2.7489936907943977,-4.123817966565257,0.8585990115179231,12
0.005203533172607422,0.0024783758495126713,0.007396697998046875,0.007384315830890664,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-5.53784541048927,-3.6786883469308074,-5.100901113845968,-5.956540835662045,-5.186306470944055,-5.092056435574429,0.7684571217247579,14
0.007800388336181641,0.009600257941034902,0.0032002925872802734,0.00039935580293557214,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-1.2632679229941133,-1.053237423633889,-1.4124582653760915,-1.2442991994727015,-0.863249781289528,-1.1673025185532646,0.19010423500748228,2
0.004204702377319336,0.0014724348210254348,0.007999753952026368,0.00910199281544726,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-1.6370985982309076,-1.2304366229363608,-2.3605626588445743,-1.2552953441024937,-1.4193904843723808,-1.5805567416973436,0.4161633931886971,4
0.003801584243774414,0.0007489063746652945,0.0025983333587646486,0.0004893420243478364,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-1.454091432539172,-1.2375781479834278,-2.725356896903852,-1.6355255953266352,-1.4357019686564452,-1.6976508082819066,0.5290830867685703,5
0.00400090217590332,0.0010966720568050912,0.004400014877319336,0.0022458131786367262,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-2.3874018737620086,-1.4021398879348697,-3.2829478450034126,-2.044992049041088,-1.4253292254740846,-2.108562176243093,0.6966798621188495,7
0.00939946174621582,0.008522901286230131,0.0032004356384277345,0.0004001149260623272,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-4.261338356575374,-1.406548135400018,-4.201321504423468,-2.9839903533349506,-2.171701735777283,-3.004980017102219,1.1188786325607174,9
0.004199981689453125,0.0014685756331788591,0.0042018890380859375,0.0019390011593371909,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-4.775026156614158,-1.9564480816055438,-4.378868771833126,-3.701296240634855,-2.732459611454039,-3.508819772428344,1.0401830632679534,11
0.0037933826446533204,0.0003980084265777538,0.003001689910888672,0.0006309792807457597,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-5.138756762684924,-3.099107236012959,-4.530368832666478,-5.746404953822137,-2.7426730222153664,-4.251462161480373,1.1579551920473,13
